station_name,state,lat,lon,primary_fuel,grid,reporting_year,production_mwh,emissions_tco2e,intensity_tco2e_mwh
Gunning Wind Farm,NSW,-34.7831232,149.2659887,Wind,NEM,2023-24,136502.0,268.0,0.001963341196465986
Royalla Solar Farm,ACT,-35.5158611,149.1476501,Solar,NEM,2023-24,34132.0,148.0,0.004336106879174967
Waubra Wind Farm,VIC,-37.3528575,143.6313265,Wind,NEM,2023-24,543046.0,1300.0,0.0023939040154977663
Banimboola Hydro,VIC,-36.5332541,147.4736183,Hydro,NEM,2023-24,25490.0,13.0,0.0005100039231071008
Bayswater Power Station,NSW,-32.3951272,150.949476,Black Coal,NEM,2023-24,15546296.0,13712719.0,0.8820569864358687
Bogong Power Station,VIC,-36.8053642,147.2279689,Hydro,NEM,2023-24,53819.0,698.0,0.012969397424701313
Burrendong Hydro,NSW,-32.7003526,149.1051157,Hydro,NEM,2023-24,44754.0,48.0,0.0010725298297358896
Clover Hydro,VIC,-37.85589,145.020236,Hydro,NEM,2023-24,43317.0,197.0,0.004547868042569892
Copeton Hydro,NSW,-29.8782167,150.9252216,Hydro,NEM,2023-24,50533.0,39.0,0.0007717729008766548
Dartmouth Hydro,VIC,-36.611893,147.6137704,Hydro,NEM,2023-24,275462.0,120.0,0.0004356317749816672
Eildon Hydro,VIC,-37.2327565,145.910156,Hydro,NEM,2023-24,228691.0,28.0,0.00012243595069329357
Glenbawn Hydro,NSW,-32.04,151.0677778,Hydro,NEM,2023-24,0.0,8.0,
Hallett (Stage 1) Wind Farm,SA,-33.4118964,138.8936983,Wind,NEM,2023-24,205313.0,224.0,0.0010910171299430625
Hallett (Stage 2) Wind Farm,SA,-33.4118964,138.8936983,Wind,NEM,2023-24,176306.0,229.0,0.0012988780869624403
Hunter Valley Gas Turbines,NSW,-32.3891902,150.966266,Natural Gas,NEM,2020-21,0.0,6.0,
Liddell Power Station,NSW,-32.3718203,150.9779565,Black Coal,NEM,2022-23,5527506.0,5265703.0,0.9526363245919588
Macarthur Wind Farm,VIC,-38.0449895,142.0433957,Wind,NEM,2023-24,654584.0,7140.0,0.0109076909915305
McKay Creek Hydro,VIC,-36.8747271,147.2433527,Hydro,NEM,2023-24,81944.0,1291.0,0.01575466172019916
Moranbah Power Station,QLD,-22.0030414,148.0432658,Coal Seam Methane,NEM,2022-23,26451.0,14816.0,0.560130051793883
Nyngan Solar Plant,NSW,-31.5564839,147.0860758,Solar,NEM,2023-24,227900.0,736.0,0.003229486616937253
Oaklands Hill Wind Farm,VIC,-37.6836375,142.546547,Wind,NEM,2023-24,123933.0,511.0,0.004123195597621295
Rubicon Hydro Scheme,VIC,-37.3744929,145.8711285,Hydro,NEM,2023-24,2655.0,173.0,0.06516007532956686
Somerton Power Station,VIC,-37.6316012,144.9525619,Natural Gas,NEM,2023-24,34463.0,27639.0,0.8019905405797522
Torrens Island Power Station,SA,-34.8064918,138.5231308,Natural Gas,NEM,2023-24,626192.0,376187.0,0.6007534430334466
Wattle Point Wind Farm,SA,-35.1169369,137.7303551,Wind,NEM,2023-24,226774.0,158.0,0.0006967289019023345
West Kiewa Hydro,VIC,-36.8190086,147.1572441,Hydro,NEM,2023-24,173373.0,427.0,0.002462897913746662
Yarrawonga Hydro,VIC,-36.0141692,146.0063494,Hydro,NEM,2023-24,45107.0,12.0,0.00026603409670339416
Anglesea Power Station,VIC,-38.3873205,144.1847292,Brown Coal,NEM,2015-16,167880.0,202555.0,1.206546342625685
Augusta Power Stations,SA,-32.5417543,137.7921304,Brown Coal,NEM,2015-16,2601170.0,2639744.0,1.014829480579893
Bairnsdale Power Station,VIC,-37.8429177,147.5638553,Natural Gas,NEM,2023-24,62804.0,34130.0,0.5434367237755557
Braemar Power Station,QLD,-27.1104344,150.9058045,Coal Seam Methane,NEM,2023-24,294334.0,173535.0,0.5895853010525457
Newman Power Station,WA,-23.344375,119.7086163,Natural Gas,Off-grid,2023-24,860703.0,376230.0,0.4371194244704619
Port Hedland Power Station,WA,-20.4280204,118.5505995,Natural Gas,NWIS,2023-24,449612.0,340466.0,0.7572440237360213
Braemar 2 Power Station,QLD,-27.1128667,150.9054405,Coal Seam Methane,NEM,2023-24,360156.0,214156.0,0.5946201090638501
Karratha Power Station,WA,-20.7370067,116.8478592,Natural Gas,NWIS,2023-24,75862.0,53276.0,0.7022751838865308
Condamine Power Station,QLD,-26.6679436,150.269901,Natural Gas,NEM,2023-24,96152.0,57572.0,0.598760296197687
Bluewaters Power 1,WA,-33.3305202,116.2281911,Black Coal,SWIS,2023-24,1517623.0,1353211.0,0.8916647942209627
Bluewaters Power 2,WA,-33.3305202,116.2281911,Black Coal,SWIS,2023-24,1370375.0,1240087.0,0.9049252941713035
Canunda Wind Farm,SA,-37.7785242,140.354731,Wind,NEM,2023-24,97427.0,112.0,0.0011495786588933252
Broadwater Power Plant,NSW,-36.9704322,149.8808955,Wood,NEM,2023-24,154431.0,6398.0,0.04142950573395238
Condong Power Plant,NSW,-28.3114787,153.4351183,Wood,NEM,2023-24,145472.0,5550.0,0.03815167179938407
Daandine Power Station,QLD,-27.0861467,150.9426252,Coal Seam Methane,NEM,2021-22,20924.0,11323.0,0.5411489199005927
Norseman Gold Power Station,WA,-32.1958002,121.7927266,Diesel,Off-grid,2021-22,3720.0,2693.0,0.7239247311827957
Callide A Power Station,QLD,-24.3343318,150.6274496,Black Coal,NEM,2014-15,100820.0,167062.0,1.6570323348541955
Callide B Power Station,QLD,-24.265952,150.5131124,Black Coal,NEM,2023-24,4273452.0,4028161.0,0.9426012038979261
Callide C Power Station,QLD,-24.265952,150.5131124,Black Coal,NEM,2023-24,782678.0,688038.0,0.8790818190877986
Kogan Creek Power Station,QLD,-26.9176213,150.752275,Black Coal,NEM,2023-24,5478078.0,4522472.0,0.8255581610922663
Wivenhoe Power Station,QLD,-20.8136098,142.0919363,Hydro,NEM,2023-24,632159.0,684689.0,1.0830961830805224
Collgar Wind Farm,WA,-31.5542196,118.4447189,Wind,SWIS,2023-24,640602.0,985.0,0.0015376161797808936
Brown Mountain Power Station,NSW,-36.5952435,149.4741226,Hydro,NEM,2015-16,23484.0,13.0,0.0005535683869868846
Vales Point Power Station,NSW,-33.1605934,151.5440766,Black Coal,NEM,2023-24,7260315.0,7111963.0,0.979566726788025
Diamantina Power Station,QLD,-20.7837413,139.4833848,Natural Gas,Mt Isa,2023-24,1507037.0,644692.0,0.42778777163400766
Jeeralang Power Station,VIC,-38.2750151,146.425452,Natural Gas,NEM,2023-24,45133.0,39796.0,0.8817494959342388
Newport Power Station,VIC,-37.841433,144.8949937,Natural Gas,NEM,2023-24,252911.0,155901.0,0.6164263317926069
Albany Wind Farm,WA,-35.0493919,117.7615045,Wind,SWIS,2018-19,30748.0,13.0,0.0004227917262911409
Cockburn Power Station,WA,-32.2008953,115.7743364,Natural Gas,SWIS,2023-24,807311.0,307892.0,0.3813796665721141
Collie Power Station,WA,-33.3431261,116.2580319,Black Coal,SWIS,2023-24,966990.0,922704.0,0.9542022151211491
Denham Wind Farm,WA,-25.9280964,113.5372233,Wind,Off-grid,2020-21,1456.0,0.0,0.0
Esperance Wind Farm,WA,-33.858228,121.8931606,Wind,Off-grid,2021-22,4200.0,12.0,0.002857142857142857
Kalbarri Wind Farm,WA,-27.7109989,114.1638162,Wind,SWIS,2023-24,2144.0,0.0,0.0
Kwinana Power Station,WA,-32.1982404,115.7756758,Natural Gas,SWIS,2023-24,861203.0,455540.0,0.5289577486376615
Muja Power Station,WA,-33.4499216,116.308747,Black Coal,SWIS,2023-24,3200546.0,3092800.0,0.9663351190703087
Ravensthorpe Power Station,WA,-33.5813455,120.0473501,Diesel,SWIS,2023-24,503.0,363.0,0.7216699801192843
Century Power Station,QLD,-19.2716857,146.790776,Diesel,Mt Isa,2015-16,1698.0,1195.0,0.7037691401648999
Gascoyne Junction Remote Power Station,WA,-25.052333,115.2084154,Liquid Fuel,Off-grid,2016-17,789.0,622.0,0.788339670468948
