interval_ts,network_region,demand,price
2026-05-11 14:00:00+00:00,NEM,21072.36,77.226
2026-05-11 14:05:00+00:00,NEM,20986.39,77.872
2026-05-11 14:10:00+00:00,NEM,20953.31,78.444
2026-05-11 14:15:00+00:00,NEM,20841.53,78.828
2026-05-11 14:20:00+00:00,NEM,20990.78,84.316
2026-05-11 14:25:00+00:00,NEM,20918.68,79.714
2026-05-11 14:30:00+00:00,NEM,20786.18,79.27
2026-05-11 14:35:00+00:00,NEM,20627.54,80.184
2026-05-11 14:40:00+00:00,NEM,20720.96,79.58
2026-05-11 14:45:00+00:00,NEM,20582.04,79.288
2026-05-11 14:50:00+00:00,NEM,20501.71,79.764
2026-05-11 14:55:00+00:00,NEM,20439.63,79.836
2026-05-11 15:00:00+00:00,NEM,20225.86,78.976
2026-05-11 15:05:00+00:00,NEM,20070.32,77.452
2026-05-11 15:10:00+00:00,NEM,20018.02,77.598
2026-05-11 15:15:00+00:00,NEM,19840.78,77.182
2026-05-11 15:20:00+00:00,NEM,19860.14,77.382
2026-05-11 15:25:00+00:00,NEM,19798.11,71.308
2026-05-11 15:30:00+00:00,NEM,19751.29,72.314
2026-05-11 15:35:00+00:00,NEM,19795.39,78.71
2026-05-11 15:40:00+00:00,NEM,19730.23,78.594
2026-05-11 15:45:00+00:00,NEM,19675.81,78.494
2026-05-11 15:50:00+00:00,NEM,19661.02,78.208
2026-05-11 15:55:00+00:00,NEM,19531.66,74.986
2026-05-11 16:00:00+00:00,NEM,19434.5,74.554
2026-05-11 16:05:00+00:00,NEM,19505.2,80.534
2026-05-11 16:10:00+00:00,NEM,19350.34,78.144
2026-05-11 16:15:00+00:00,NEM,19260.46,74.856
2026-05-11 16:20:00+00:00,NEM,19269.84,79.908
2026-05-11 16:25:00+00:00,NEM,19248.46,79.826
2026-05-11 16:30:00+00:00,NEM,19199.89,82.576
2026-05-11 16:35:00+00:00,NEM,19045.2,74.348
2026-05-11 16:40:00+00:00,NEM,18965.53,74.186
2026-05-11 16:45:00+00:00,NEM,18924.48,74.784
2026-05-11 16:50:00+00:00,NEM,18934.27,74.772
2026-05-11 16:55:00+00:00,NEM,18941.67,74.86
2026-05-11 17:00:00+00:00,NEM,18933.22,74.112
2026-05-11 17:05:00+00:00,NEM,18900.12,74.586
2026-05-11 17:10:00+00:00,NEM,19046.59,82.986
2026-05-11 17:15:00+00:00,NEM,19102.76,75.634
2026-05-11 17:20:00+00:00,NEM,18990.61,72.108
2026-05-11 17:25:00+00:00,NEM,19009.76,74.216
2026-05-11 17:30:00+00:00,NEM,19010.49,74.136
2026-05-11 17:35:00+00:00,NEM,18880.25,74.788
2026-05-11 17:40:00+00:00,NEM,18902.49,74.646
2026-05-11 17:45:00+00:00,NEM,18902.34,75.12
2026-05-11 17:50:00+00:00,NEM,18908.59,83.024
2026-05-11 17:55:00+00:00,NEM,18837.43,74.678
2026-05-11 18:00:00+00:00,NEM,18846.95,76.952
2026-05-11 18:05:00+00:00,NEM,18917.16,78.44
2026-05-11 18:10:00+00:00,NEM,18984.25,83.922
2026-05-11 18:15:00+00:00,NEM,18895.72,80.448
2026-05-11 18:20:00+00:00,NEM,18997.06,81.846
